date,incid_hosp
2023-03-18,4.0
2023-03-19,0.0
2023-03-20,3.0
2023-03-21,12.0
2023-03-22,8.0
2023-03-23,9.0
2023-03-24,6.0
2023-03-25,4.0
2023-03-26,0.0
2023-03-27,6.0
2023-03-28,32.0
2023-03-29,10.0
2023-03-30,9.0
2023-03-31,3.0
2023-04-01,10.0
2023-04-02,0.0
2023-04-03,11.0
2023-04-04,4.0
2023-04-05,6.0
2023-04-06,2.0
2023-04-07,4.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,2.0
2023-04-12,4.0
2023-04-13,1.0
2023-04-14,11.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,8.0
2023-04-18,1.0
2023-04-19,3.0
2023-04-20,12.0
2023-04-21,1.0
2023-04-22,1.0
2023-04-23,0.0
2023-04-24,3.0
2023-04-25,11.0
2023-04-26,1.0
2023-04-27,3.0
2023-04-28,1.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,5.0
2023-05-03,6.0
2023-05-04,1.0
2023-05-05,4.0
2023-05-06,1.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,1.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,3.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,1.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,4.0
2023-05-23,0.0
2023-05-24,1.0
2023-05-25,2.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,4.0
2023-05-31,0.0
2023-06-01,5.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,1.0
2023-06-07,0.0
2023-06-08,4.0
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,4.0
2023-06-13,0.0
2023-06-14,1.0
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,4.0
2023-06-20,1.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,1.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,1.0
2023-06-29,0.0
2023-06-30,0.0
2020-03-18,
2020-03-19,2.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,6.0
2020-03-24,5.0
2020-03-25,14.0
2020-03-26,7.0
2020-03-27,2.0
2020-03-28,6.0
2020-03-29,5.0
2020-03-30,4.0
2020-03-31,17.0
2020-04-01,19.0
2020-04-02,11.0
2020-04-03,7.0
2020-04-04,10.0
2020-04-05,6.0
2020-04-06,6.0
2020-04-07,14.0
2020-04-08,13.0
2020-04-09,6.0
2020-04-10,15.0
2020-04-11,5.0
2020-04-12,6.0
2020-04-13,1.0
2020-04-14,9.0
2020-04-15,8.0
2020-04-16,3.0
2020-04-17,6.0
2020-04-18,4.0
2020-04-19,3.0
2020-04-20,4.0
2020-04-21,2.0
2020-04-22,3.0
2020-04-23,2.0
2020-04-24,4.0
2020-04-25,9.0
2020-04-26,0.0
2020-04-27,3.0
2020-04-28,5.0
2020-04-29,1.0
2020-04-30,5.0
2020-05-01,1.0
2020-05-02,2.0
2020-05-03,1.0
2020-05-04,8.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,0.0
2020-05-11,2.0
2020-05-12,1.0
2020-05-13,0.0
2020-05-14,1.0
2020-05-15,0.0
2020-05-16,1.0
2020-05-17,2.0
2020-05-18,1.0
2020-05-19,4.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,2.0
2020-05-23,1.0
2020-05-24,0.0
2020-05-25,2.0
2020-05-26,5.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,4.0
2020-06-04,0.0
2020-06-05,1.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,1.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,1.0
2020-06-14,0.0
2020-06-15,1.0
2020-06-16,1.0
2020-06-17,0.0
2020-06-18,2.0
2020-06-19,4.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,1.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,1.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,2.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,1.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,1.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,1.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,2.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,1.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,1.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,1.0
2020-08-20,1.0
2020-08-21,1.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,2.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,1.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,2.0
2020-09-17,1.0
2020-09-18,2.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,1.0
2020-09-22,0.0
2020-09-23,2.0
2020-09-24,3.0
2020-09-25,1.0
2020-09-26,2.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,3.0
2020-09-30,3.0
2020-10-01,2.0
2020-10-02,1.0
2020-10-03,0.0
2020-10-04,5.0
2020-10-05,5.0
2020-10-06,2.0
2020-10-07,1.0
2020-10-08,2.0
2020-10-09,2.0
2020-10-10,0.0
2020-10-11,1.0
2020-10-12,2.0
2020-10-13,0.0
2020-10-14,3.0
2020-10-15,1.0
2020-10-16,1.0
2020-10-17,0.0
2020-10-18,2.0
2020-10-19,1.0
2020-10-20,3.0
2020-10-21,6.0
2020-10-22,3.0
2020-10-23,8.0
2020-10-24,3.0
2020-10-25,0.0
2020-10-26,7.0
2020-10-27,18.0
2020-10-28,10.0
2020-10-29,7.0
2020-10-30,7.0
2020-10-31,7.0
2020-11-01,11.0
2020-11-02,5.0
2020-11-03,14.0
2020-11-04,18.0
2020-11-05,14.0
2020-11-06,15.0
2020-11-07,10.0
2020-11-08,6.0
2020-11-09,23.0
2020-11-10,4.0
2020-11-11,14.0
2020-11-12,13.0
2020-11-13,13.0
2020-11-14,10.0
2020-11-15,7.0
2020-11-16,17.0
2020-11-17,10.0
2020-11-18,23.0
2020-11-19,16.0
2020-11-20,11.0
2020-11-21,3.0
2020-11-22,4.0
2020-11-23,9.0
2020-11-24,8.0
2020-11-25,5.0
2020-11-26,20.0
2020-11-27,9.0
2020-11-28,6.0
2020-11-29,2.0
2020-11-30,15.0
2020-12-01,8.0
2020-12-02,13.0
2020-12-03,2.0
2020-12-04,11.0
2020-12-05,4.0
2020-12-06,1.0
2020-12-07,19.0
2020-12-08,29.0
2020-12-09,18.0
2020-12-10,7.0
2020-12-11,18.0
2020-12-12,2.0
2020-12-13,6.0
2020-12-14,17.0
2020-12-15,22.0
2020-12-16,11.0
2020-12-17,10.0
2020-12-18,14.0
2020-12-19,3.0
2020-12-20,8.0
2020-12-21,6.0
2020-12-22,8.0
2020-12-23,9.0
2020-12-24,9.0
2020-12-25,7.0
2020-12-26,0.0
2020-12-27,6.0
2020-12-28,7.0
2020-12-29,12.0
2020-12-30,9.0
2020-12-31,9.0
2021-01-01,3.0
2021-01-02,0.0
2021-01-03,1.0
2021-01-04,12.0
2021-01-05,31.0
2021-01-06,6.0
2021-01-07,10.0
2021-01-08,11.0
2021-01-09,2.0
2021-01-10,0.0
2021-01-11,19.0
2021-01-12,6.0
2021-01-13,2.0
2021-01-14,7.0
2021-01-15,5.0
2021-01-16,0.0
2021-01-17,2.0
2021-01-18,5.0
2021-01-19,14.0
2021-01-20,8.0
2021-01-21,15.0
2021-01-22,8.0
2021-01-23,4.0
2021-01-24,2.0
2021-01-25,15.0
2021-01-26,9.0
2021-01-27,17.0
2021-01-28,3.0
2021-01-29,21.0
2021-01-30,1.0
2021-01-31,7.0
2021-02-01,4.0
2021-02-02,12.0
2021-02-03,5.0
2021-02-04,20.0
2021-02-05,2.0
2021-02-06,2.0
2021-02-07,0.0
2021-02-08,6.0
2021-02-09,1.0
2021-02-10,1.0
2021-02-11,2.0
2021-02-12,4.0
2021-02-13,3.0
2021-02-14,0.0
2021-02-15,3.0
2021-02-16,11.0
2021-02-17,7.0
2021-02-18,5.0
2021-02-19,2.0
2021-02-20,3.0
2021-02-21,1.0
2021-02-22,3.0
2021-02-23,2.0
2021-02-24,3.0
2021-02-25,3.0
2021-02-26,5.0
2021-02-27,4.0
2021-02-28,4.0
2021-03-01,5.0
2021-03-02,14.0
2021-03-03,6.0
2021-03-04,18.0
2021-03-05,12.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,5.0
2021-03-09,28.0
2021-03-10,3.0
2021-03-11,5.0
2021-03-12,11.0
2021-03-13,5.0
2021-03-14,2.0
2021-03-15,8.0
2021-03-16,11.0
2021-03-17,4.0
2021-03-18,4.0
2021-03-19,16.0
2021-03-20,5.0
2021-03-21,0.0
2021-03-22,5.0
2021-03-23,20.0
2021-03-24,12.0
2021-03-25,6.0
2021-03-26,10.0
2021-03-27,7.0
2021-03-28,0.0
2021-03-29,19.0
2021-03-30,11.0
2021-03-31,4.0
2021-04-01,5.0
2021-04-02,6.0
2021-04-03,8.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,27.0
2021-04-07,17.0
2021-04-08,11.0
2021-04-09,12.0
2021-04-10,6.0
2021-04-11,6.0
2021-04-12,6.0
2021-04-13,21.0
2021-04-14,12.0
2021-04-15,14.0
2021-04-16,13.0
2021-04-17,4.0
2021-04-18,0.0
2021-04-19,13.0
2021-04-20,24.0
2021-04-21,6.0
2021-04-22,10.0
2021-04-23,8.0
2021-04-24,12.0
2021-04-25,1.0
2021-04-26,18.0
2021-04-27,8.0
2021-04-28,3.0
2021-04-29,2.0
2021-04-30,3.0
2021-05-01,3.0
2021-05-02,0.0
2021-05-03,16.0
2021-05-04,11.0
2021-05-05,8.0
2021-05-06,5.0
2021-05-07,11.0
2021-05-08,3.0
2021-05-09,0.0
2021-05-10,1.0
2021-05-11,11.0
2021-05-12,8.0
2021-05-13,3.0
2021-05-14,2.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,6.0
2021-05-18,10.0
2021-05-19,7.0
2021-05-20,9.0
2021-05-21,0.0
2021-05-22,2.0
2021-05-23,0.0
2021-05-24,1.0
2021-05-25,1.0
2021-05-26,2.0
2021-05-27,8.0
2021-05-28,3.0
2021-05-29,3.0
2021-05-30,0.0
2021-05-31,1.0
2021-06-01,3.0
2021-06-02,2.0
2021-06-03,1.0
2021-06-04,1.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,9.0
2021-06-08,0.0
2021-06-09,3.0
2021-06-10,2.0
2021-06-11,1.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,1.0
2021-06-15,1.0
2021-06-16,1.0
2021-06-17,0.0
2021-06-18,1.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,3.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,3.0
2021-07-01,1.0
2021-07-02,0.0
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,1.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.0
2021-07-16,1.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,1.0
2021-07-20,0.0
2021-07-21,1.0
2021-07-22,0.0
2021-07-23,1.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,3.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-07-30,0.0
2021-07-31,2.0
2021-08-01,0.0
2021-08-02,1.0
2021-08-03,1.0
2021-08-04,2.0
2021-08-05,4.0
2021-08-06,0.0
2021-08-07,0.0
2021-08-08,0.0
2021-08-09,1.0
2021-08-10,0.0
2021-08-11,1.0
2021-08-12,1.0
2021-08-13,0.0
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,1.0
2021-08-17,5.0
2021-08-18,2.0
2021-08-19,1.0
2021-08-20,0.0
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,7.0
2021-08-24,2.0
2021-08-25,1.0
2021-08-26,2.0
2021-08-27,1.0
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,3.0
2021-08-31,0.0
2021-09-01,5.0
2021-09-02,0.0
2021-09-03,1.0
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,3.0
2021-09-07,5.0
2021-09-08,1.0
2021-09-09,1.0
2021-09-10,1.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,1.0
2021-09-14,2.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,5.0
2021-09-22,2.0
2021-09-23,0.0
2021-09-24,1.0
2021-09-25,1.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,1.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,1.0
2021-10-07,1.0
2021-10-08,1.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,1.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,1.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,1.0
2021-10-19,4.0
2021-10-20,0.0
2021-10-21,4.0
2021-10-22,2.0
2021-10-23,2.0
2021-10-24,0.0
2021-10-25,2.0
2021-10-26,2.0
2021-10-27,1.0
2021-10-28,0.0
2021-10-29,1.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,2.0
2021-11-03,3.0
2021-11-04,0.0
2021-11-05,3.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,3.0
2021-11-09,11.0
2021-11-10,4.0
2021-11-11,1.0
2021-11-12,2.0
2021-11-13,0.0
2021-11-14,3.0
2021-11-15,9.0
2021-11-16,8.0
2021-11-17,4.0
2021-11-18,19.0
2021-11-19,6.0
2021-11-20,6.0
2021-11-21,0.0
2021-11-22,11.0
2021-11-23,12.0
2021-11-24,4.0
2021-11-25,11.0
2021-11-26,7.0
2021-11-27,4.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,7.0
2021-12-01,6.0
2021-12-02,1.0
2021-12-03,19.0
2021-12-04,5.0
2021-12-05,0.0
2021-12-06,5.0
2021-12-07,18.0
2021-12-08,10.0
2021-12-09,8.0
2021-12-10,6.0
2021-12-11,6.0
2021-12-12,0.0
2021-12-13,4.0
2021-12-14,12.0
2021-12-15,5.0
2021-12-16,13.0
2021-12-17,6.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,14.0
2021-12-21,0.0
2021-12-22,4.0
2021-12-23,1.0
2021-12-24,2.0
2021-12-25,1.0
2021-12-26,5.0
2021-12-27,6.0
2021-12-28,12.0
2021-12-29,1.0
2021-12-30,8.0
2021-12-31,7.0
2022-01-01,4.0
2022-01-02,0.0
2022-01-03,1.0
2022-01-04,10.0
2022-01-05,10.0
2022-01-06,13.0
2022-01-07,15.0
2022-01-08,3.0
2022-01-09,2.0
2022-01-10,9.0
2022-01-11,17.0
2022-01-12,15.0
2022-01-13,13.0
2022-01-14,9.0
2022-01-15,11.0
2022-01-16,0.0
2022-01-17,12.0
2022-01-18,17.0
2022-01-19,19.0
2022-01-20,12.0
2022-01-21,26.0
2022-01-22,3.0
2022-01-23,0.0
2022-01-24,12.0
2022-01-25,36.0
2022-01-26,33.0
2022-01-27,18.0
2022-01-28,19.0
2022-01-29,8.0
2022-01-30,5.0
2022-01-31,12.0
2022-02-01,34.0
2022-02-02,23.0
2022-02-03,26.0
2022-02-04,17.0
2022-02-05,1.0
2022-02-06,3.0
2022-02-07,14.0
2022-02-08,15.0
2022-02-09,18.0
2022-02-10,18.0
2022-02-11,32.0
2022-02-12,1.0
2022-02-13,0.0
2022-02-14,5.0
2022-02-15,13.0
2022-02-16,26.0
2022-02-17,11.0
2022-02-18,22.0
2022-02-19,1.0
2022-02-20,0.0
2022-02-21,11.0
2022-02-22,16.0
2022-02-23,11.0
2022-02-24,8.0
2022-02-25,8.0
2022-02-26,2.0
2022-02-27,0.0
2022-02-28,2.0
2022-03-01,12.0
2022-03-02,4.0
2022-03-03,6.0
2022-03-04,11.0
2022-03-05,12.0
2022-03-06,2.0
2022-03-07,13.0
2022-03-08,14.0
2022-03-09,2.0
2022-03-10,15.0
2022-03-11,9.0
2022-03-12,3.0
2022-03-13,3.0
2022-03-14,13.0
2022-03-15,4.0
2022-03-16,13.0
2022-03-17,12.0
2022-03-18,8.0
2022-03-19,5.0
2022-03-20,0.0
2022-03-21,8.0
2022-03-22,15.0
2022-03-23,8.0
2022-03-24,1.0
2022-03-25,11.0
2022-03-26,2.0
2022-03-27,0.0
2022-03-28,5.0
2022-03-29,25.0
2022-03-30,9.0
2022-03-31,7.0
2022-04-01,25.0
2022-04-02,19.0
2022-04-03,0.0
2022-04-04,20.0
2022-04-05,22.0
2022-04-06,9.0
2022-04-07,19.0
2022-04-08,17.0
2022-04-09,1.0
2022-04-10,0.0
2022-04-11,14.0
2022-04-12,20.0
2022-04-13,30.0
2022-04-14,7.0
2022-04-15,5.0
2022-04-16,17.0
2022-04-17,2.0
2022-04-18,1.0
2022-04-19,5.0
2022-04-20,18.0
2022-04-21,9.0
2022-04-22,15.0
2022-04-23,9.0
2022-04-24,1.0
2022-04-25,3.0
2022-04-26,11.0
2022-04-27,5.0
2022-04-28,18.0
2022-04-29,4.0
2022-04-30,5.0
2022-05-01,1.0
2022-05-02,3.0
2022-05-03,12.0
2022-05-04,3.0
2022-05-05,23.0
2022-05-06,14.0
2022-05-07,2.0
2022-05-08,2.0
2022-05-09,0.0
2022-05-10,8.0
2022-05-11,5.0
2022-05-12,8.0
2022-05-13,6.0
2022-05-14,0.0
2022-05-15,1.0
2022-05-16,4.0
2022-05-17,6.0
2022-05-18,0.0
2022-05-19,4.0
2022-05-20,4.0
2022-05-21,6.0
2022-05-22,0.0
2022-05-23,4.0
2022-05-24,8.0
2022-05-25,1.0
2022-05-26,8.0
2022-05-27,3.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,1.0
2022-05-31,5.0
2022-06-01,2.0
2022-06-02,1.0
2022-06-03,3.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,4.0
2022-06-09,7.0
2022-06-10,2.0
2022-06-11,1.0
2022-06-12,0.0
2022-06-13,1.0
2022-06-14,3.0
2022-06-15,1.0
2022-06-16,1.0
2022-06-17,0.0
2022-06-18,2.0
2022-06-19,1.0
2022-06-20,1.0
2022-06-21,8.0
2022-06-22,7.0
2022-06-23,5.0
2022-06-24,3.0
2022-06-25,2.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,11.0
2022-06-29,3.0
2022-06-30,2.0
2022-07-01,10.0
2022-07-02,3.0
2022-07-03,0.0
2022-07-04,3.0
2022-07-05,18.0
2022-07-06,14.0
2022-07-07,6.0
2022-07-08,7.0
2022-07-09,5.0
2022-07-10,7.0
2022-07-11,4.0
2022-07-12,23.0
2022-07-13,6.0
2022-07-14,8.0
2022-07-15,15.0
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,15.0
2022-07-19,20.0
2022-07-20,20.0
2022-07-21,9.0
2022-07-22,13.0
2022-07-23,3.0
2022-07-24,3.0
2022-07-25,6.0
2022-07-26,15.0
2022-07-27,9.0
2022-07-28,1.0
2022-07-29,5.0
2022-07-30,1.0
2022-07-31,2.0
2022-08-01,3.0
2022-08-02,5.0
2022-08-03,3.0
2022-08-04,3.0
2022-08-05,3.0
2022-08-06,2.0
2022-08-07,0.0
2022-08-08,2.0
2022-08-09,14.0
2022-08-10,2.0
2022-08-11,8.0
2022-08-12,2.0
2022-08-13,1.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,1.0
2022-08-17,12.0
2022-08-18,2.0
2022-08-19,1.0
2022-08-20,1.0
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,6.0
2022-08-24,2.0
2022-08-25,5.0
2022-08-26,7.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,3.0
2022-08-30,0.0
2022-08-31,2.0
2022-09-01,0.0
2022-09-02,1.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,1.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,6.0
2022-09-09,0.0
2022-09-10,1.0
2022-09-11,0.0
2022-09-12,0.0
2022-09-13,1.0
2022-09-14,5.0
2022-09-15,0.0
2022-09-16,3.0
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,3.0
2022-09-20,1.0
2022-09-21,3.0
2022-09-22,8.0
2022-09-23,6.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,4.0
2022-09-27,15.0
2022-09-28,3.0
2022-09-29,4.0
2022-09-30,5.0
2022-10-01,2.0
2022-10-02,0.0
2022-10-03,4.0
2022-10-04,2.0
2022-10-05,12.0
2022-10-06,3.0
2022-10-07,3.0
2022-10-08,19.0
2022-10-09,0.0
2022-10-10,5.0
2022-10-11,19.0
2022-10-12,6.0
2022-10-13,11.0
2022-10-14,9.0
2022-10-15,3.0
2022-10-16,0.0
2022-10-17,3.0
2022-10-18,5.0
2022-10-19,23.0
2022-10-20,9.0
2022-10-21,21.0
2022-10-22,8.0
2022-10-23,0.0
2022-10-24,3.0
2022-10-25,10.0
2022-10-26,3.0
2022-10-27,4.0
2022-10-28,2.0
2022-10-29,8.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,8.0
2022-11-02,12.0
2022-11-03,6.0
2022-11-04,8.0
2022-11-05,9.0
2022-11-06,0.0
2022-11-07,3.0
2022-11-08,2.0
2022-11-09,3.0
2022-11-10,9.0
2022-11-11,0.0
2022-11-12,2.0
2022-11-13,0.0
2022-11-14,1.0
2022-11-15,12.0
2022-11-16,4.0
2022-11-17,8.0
2022-11-18,1.0
2022-11-19,1.0
2022-11-20,1.0
2022-11-21,5.0
2022-11-22,6.0
2022-11-23,7.0
2022-11-24,6.0
2022-11-25,5.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,4.0
2022-11-29,13.0
2022-11-30,2.0
2022-12-01,13.0
2022-12-02,2.0
2022-12-03,4.0
2022-12-04,0.0
2022-12-05,1.0
2022-12-06,0.0
2022-12-07,4.0
2022-12-08,1.0
2022-12-09,11.0
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,5.0
2022-12-13,14.0
2022-12-14,5.0
2022-12-15,3.0
2022-12-16,17.0
2022-12-17,3.0
2022-12-18,0.0
2022-12-19,13.0
2022-12-20,10.0
2022-12-21,10.0
2022-12-22,24.0
2022-12-23,14.0
2022-12-24,4.0
2022-12-25,0.0
2022-12-26,10.0
2022-12-27,12.0
2022-12-28,6.0
2022-12-29,3.0
2022-12-30,15.0
2022-12-31,1.0
2023-01-01,0.0
2023-01-02,3.0
2023-01-03,4.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,2.0
2023-01-10,5.0
2023-01-11,3.0
2023-01-12,8.0
2023-01-13,4.0
2023-01-14,1.0
2023-01-15,0.0
2023-01-16,2.0
2023-01-17,11.0
2023-01-18,12.0
2023-01-19,11.0
2023-01-20,1.0
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,1.0
2023-01-24,0.0
2023-01-25,3.0
2023-01-26,5.0
2023-01-27,8.0
2023-01-28,8.0
2023-01-29,0.0
2023-01-30,8.0
2023-01-31,2.0
2023-02-01,3.0
2023-02-02,2.0
2023-02-03,1.0
2023-02-04,0.0
2023-02-05,0.0
2023-02-06,5.0
2023-02-07,2.0
2023-02-08,24.0
2023-02-09,0.0
2023-02-10,2.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,2.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-17,2.0
2023-02-18,0.0
2023-02-19,0.0
2023-02-20,4.0
2023-02-21,1.0
2023-02-22,1.0
2023-02-23,11.0
2023-02-24,3.0
2023-02-25,0.0
2023-02-26,0.0
2023-02-27,1.0
2023-02-28,1.0
2023-03-01,2.0
2023-03-02,2.0
2023-03-03,6.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,1.0
2023-03-07,7.0
2023-03-08,13.0
2023-03-09,0.0
2023-03-10,3.0
2023-03-11,0.0
2023-03-12,0.0
2023-03-13,7.0
2023-03-14,10.0
2023-03-15,3.0
2023-03-16,3.0
2023-03-17,1.0
2023-03-18,0.0
2023-03-19,0.0
2023-03-20,3.0
2023-03-21,5.0
2023-03-22,3.0
2023-03-23,1.0
2023-03-24,1.0
2023-03-25,4.0
2023-03-26,0.0
2023-03-27,1.0
2023-03-28,1.0
2023-03-29,0.0
2023-03-30,10.0
2023-03-31,3.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,1.0
2023-04-04,9.0
2023-04-05,2.0
2023-04-06,3.0
2023-04-07,1.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,2.0
2023-04-12,1.0
2023-04-13,5.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,7.0
2023-04-18,2.0
2023-04-19,0.0
2023-04-20,6.0
2023-04-21,1.0
2023-04-22,1.0
2023-04-23,1.0
2023-04-24,0.0
2023-04-25,7.0
2023-04-26,2.0
2023-04-27,1.0
2023-04-28,6.0
2023-04-29,12.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,11.0
2023-05-03,0.0
2023-05-04,1.0
2023-05-05,0.0
2023-05-06,1.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,2.0
2023-05-10,4.0
2023-05-11,0.0
2023-05-12,1.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,3.0
2023-05-16,1.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,6.0
2023-05-23,1.0
2023-05-24,0.0
2023-05-25,2.0
2023-05-26,1.0
2023-05-27,0.0
2023-05-28,0.0
